Year,Total carbon emissions from fossil fuel consumption and cement production (million metric tons of C),Carbon emissions from gas fuel consumption,Carbon emissions from liquid fuel consumption,Carbon emissions from solid fuel consumption,Carbon emissions from cement production,Carbon emissions from gas flaring
1751-01-01T00:00:00Z,3,0,0,3,0,0
1752-01-01T00:00:00Z,3,0,0,3,0,0
1753-01-01T00:00:00Z,3,0,0,3,0,0
1754-01-01T00:00:00Z,3,0,0,3,0,0
1755-01-01T00:00:00Z,3,0,0,3,0,0
1756-01-01T00:00:00Z,3,0,0,3,0,0
1757-01-01T00:00:00Z,3,0,0,3,0,0
1758-01-01T00:00:00Z,3,0,0,3,0,0
1759-01-01T00:00:00Z,3,0,0,3,0,0
1760-01-01T00:00:00Z,3,0,0,3,0,0
1761-01-01T00:00:00Z,3,0,0,3,0,0
1762-01-01T00:00:00Z,3,0,0,3,0,0
1763-01-01T00:00:00Z,3,0,0,3,0,0
1764-01-01T00:00:00Z,3,0,0,3,0,0
1765-01-01T00:00:00Z,3,0,0,3,0,0
1766-01-01T00:00:00Z,3,0,0,3,0,0
1767-01-01T00:00:00Z,3,0,0,3,0,0
1768-01-01T00:00:00Z,3,0,0,3,0,0
1769-01-01T00:00:00Z,3,0,0,3,0,0
1770-01-01T00:00:00Z,3,0,0,3,0,0
1771-01-01T00:00:00Z,4,0,0,4,0,0
1772-01-01T00:00:00Z,4,0,0,4,0,0
1773-01-01T00:00:00Z,4,0,0,4,0,0
1774-01-01T00:00:00Z,4,0,0,4,0,0
1775-01-01T00:00:00Z,4,0,0,4,0,0
1776-01-01T00:00:00Z,4,0,0,4,0,0
1777-01-01T00:00:00Z,4,0,0,4,0,0
1778-01-01T00:00:00Z,4,0,0,4,0,0
1779-01-01T00:00:00Z,4,0,0,4,0,0
1780-01-01T00:00:00Z,4,0,0,4,0,0
1781-01-01T00:00:00Z,5,0,0,5,0,0
1782-01-01T00:00:00Z,5,0,0,5,0,0
1783-01-01T00:00:00Z,5,0,0,5,0,0
1784-01-01T00:00:00Z,5,0,0,5,0,0
1785-01-01T00:00:00Z,5,0,0,5,0,0
1786-01-01T00:00:00Z,5,0,0,5,0,0
1787-01-01T00:00:00Z,5,0,0,5,0,0
1788-01-01T00:00:00Z,5,0,0,5,0,0
1789-01-01T00:00:00Z,5,0,0,5,0,0
1790-01-01T00:00:00Z,5,0,0,5,0,0
1791-01-01T00:00:00Z,6,0,0,6,0,0
1792-01-01T00:00:00Z,6,0,0,6,0,0
1793-01-01T00:00:00Z,6,0,0,6,0,0
1794-01-01T00:00:00Z,6,0,0,6,0,0
1795-01-01T00:00:00Z,6,0,0,6,0,0
1796-01-01T00:00:00Z,6,0,0,6,0,0
1797-01-01T00:00:00Z,7,0,0,7,0,0
1798-01-01T00:00:00Z,7,0,0,7,0,0
1799-01-01T00:00:00Z,7,0,0,7,0,0
1800-01-01T00:00:00Z,8,0,0,8,0,0
1801-01-01T00:00:00Z,8,0,0,8,0,0
1802-01-01T00:00:00Z,10,0,0,10,0,0
1803-01-01T00:00:00Z,9,0,0,9,0,0
1804-01-01T00:00:00Z,9,0,0,9,0,0
1805-01-01T00:00:00Z,9,0,0,9,0,0
1806-01-01T00:00:00Z,10,0,0,10,0,0
1807-01-01T00:00:00Z,10,0,0,10,0,0
1808-01-01T00:00:00Z,10,0,0,10,0,0
1809-01-01T00:00:00Z,10,0,0,10,0,0
1810-01-01T00:00:00Z,10,0,0,10,0,0
1811-01-01T00:00:00Z,11,0,0,11,0,0
1812-01-01T00:00:00Z,11,0,0,11,0,0
1813-01-01T00:00:00Z,11,0,0,11,0,0
1814-01-01T00:00:00Z,11,0,0,11,0,0
1815-01-01T00:00:00Z,12,0,0,12,0,0
1816-01-01T00:00:00Z,13,0,0,13,0,0
1817-01-01T00:00:00Z,14,0,0,14,0,0
1818-01-01T00:00:00Z,14,0,0,14,0,0
1819-01-01T00:00:00Z,14,0,0,14,0,0
1820-01-01T00:00:00Z,14,0,0,14,0,0
1821-01-01T00:00:00Z,14,0,0,14,0,0
1822-01-01T00:00:00Z,15,0,0,15,0,0
1823-01-01T00:00:00Z,16,0,0,16,0,0
1824-01-01T00:00:00Z,16,0,0,16,0,0
1825-01-01T00:00:00Z,17,0,0,17,0,0
1826-01-01T00:00:00Z,17,0,0,17,0,0
1827-01-01T00:00:00Z,18,0,0,18,0,0
1828-01-01T00:00:00Z,18,0,0,18,0,0
1829-01-01T00:00:00Z,18,0,0,18,0,0
1830-01-01T00:00:00Z,24,0,0,24,0,0
1831-01-01T00:00:00Z,23,0,0,23,0,0
1832-01-01T00:00:00Z,23,0,0,23,0,0
1833-01-01T00:00:00Z,24,0,0,24,0,0
1834-01-01T00:00:00Z,24,0,0,24,0,0
1835-01-01T00:00:00Z,25,0,0,25,0,0
1836-01-01T00:00:00Z,29,0,0,29,0,0
1837-01-01T00:00:00Z,29,0,0,29,0,0
1838-01-01T00:00:00Z,30,0,0,30,0,0
1839-01-01T00:00:00Z,31,0,0,31,0,0
1840-01-01T00:00:00Z,33,0,0,33,0,0
1841-01-01T00:00:00Z,34,0,0,34,0,0
1842-01-01T00:00:00Z,36,0,0,36,0,0
1843-01-01T00:00:00Z,37,0,0,37,0,0
1844-01-01T00:00:00Z,39,0,0,39,0,0
1845-01-01T00:00:00Z,43,0,0,43,0,0
1846-01-01T00:00:00Z,43,0,0,43,0,0
1847-01-01T00:00:00Z,46,0,0,46,0,0
1848-01-01T00:00:00Z,47,0,0,47,0,0
1849-01-01T00:00:00Z,50,0,0,50,0,0
1850-01-01T00:00:00Z,54,0,0,54,0,0
1851-01-01T00:00:00Z,54,0,0,54,0,0
1852-01-01T00:00:00Z,57,0,0,57,0,0
1853-01-01T00:00:00Z,59,0,0,59,0,0
1854-01-01T00:00:00Z,69,0,0,69,0,0
1855-01-01T00:00:00Z,71,0,0,71,0,0
1856-01-01T00:00:00Z,76,0,0,76,0,0
1857-01-01T00:00:00Z,77,0,0,77,0,0
1858-01-01T00:00:00Z,78,0,0,78,0,0
1859-01-01T00:00:00Z,83,0,0,83,0,0
1860-01-01T00:00:00Z,91,0,0,91,0,0
1861-01-01T00:00:00Z,95,0,0,95,0,0
1862-01-01T00:00:00Z,97,0,0,96,0,0
1863-01-01T00:00:00Z,104,0,0,103,0,0
1864-01-01T00:00:00Z,112,0,0,112,0,0
1865-01-01T00:00:00Z,119,0,0,119,0,0
1866-01-01T00:00:00Z,122,0,0,122,0,0
1867-01-01T00:00:00Z,130,0,0,130,0,0
1868-01-01T00:00:00Z,135,0,0,134,0,0
1869-01-01T00:00:00Z,142,0,0,142,0,0
1870-01-01T00:00:00Z,147,0,1,146,0,0
1871-01-01T00:00:00Z,156,0,1,156,0,0
1872-01-01T00:00:00Z,173,0,1,173,0,0
1873-01-01T00:00:00Z,184,0,1,183,0,0
1874-01-01T00:00:00Z,174,0,1,173,0,0
1875-01-01T00:00:00Z,188,0,1,187,0,0
1876-01-01T00:00:00Z,191,0,1,190,0,0
1877-01-01T00:00:00Z,194,0,2,192,0,0
1878-01-01T00:00:00Z,196,0,2,194,0,0
1879-01-01T00:00:00Z,210,0,3,207,0,0
